GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012,AV0001,AV0002,AV0003,AV0004,AV0005,AV0006,AV0007,AV0008
"G0501390","1890","Arkansas","050","Union","1390","Union",6372,6434,4896,0,0,0,0,0,0,0,0,0,4270,4211,54,47,15,8,3131,3241
"G0501410","1890","Arkansas","050","Van Buren","1410","Van Buren",162,118,119,0,0,0,0,0,0,0,0,0,4268,4079,30,15,11,2,79,83
"G0501430","1890","Arkansas","050","Washington","1430","Washington",1010,944,674,0,0,0,0,0,0,0,6,2,15243,14843,363,327,152,86,475,535
"G0501450","1890","Arkansas","050","White","1450","White",2563,2032,1200,0,0,0,0,0,0,4,1,1,10065,9618,253,206,160,77,1322,1245
"G0501470","1890","Arkansas","050","Woodruff","1470","Woodruff",7556,4483,2686,1,0,0,0,0,0,0,0,0,3330,2875,96,71,64,16,3901,3656
"G0501490","1890","Arkansas","050","Yell","1490","Yell",1362,1118,767,0,0,0,0,0,0,1,1,0,8339,7954,137,90,72,60,708,655
"G0600010","1890","California","060","Alameda","0010","Alameda",785,686,81,3311,4386,1939,184,16,0,25,103,111,15730,15537,15114,15704,15248,12226,3858,447
"G0600030","1890","California","060","Alpine","0030","Alpine",3,1,1,5,17,8,0,0,0,224,0,0,80,47,76,51,156,25,126,106
"G0600050","1890","California","060","Amador","0050","Amador",26,73,72,324,1115,1627,3,0,0,58,272,0,2237,1786,1742,1640,1683,821,342,69
"G0600070","1890","California","060","Butte","0070","Butte",223,136,84,1530,3793,2082,3,0,0,319,522,40,5896,4451,1787,1461,1579,690,1774,301
"G0600090","1890","California","060","Calaveras","0090","Calaveras",77,56,31,326,1037,1441,3,0,0,77,169,18,2208,1605,1410,1183,1437,556,400,83
"G0600110","1890","California","060","Colusa","0110","Colusa",139,97,81,924,970,271,5,0,0,277,353,424,5186,3652,1424,969,1486,578,1153,192
"G0600130","1890","California","060","Contra Costa","0130","Contra Costa",54,33,21,465,732,160,11,1,0,3,47,9,2472,1938,2275,2178,2843,1276,505,28
"G0600150","1890","California","060","Del Norte","0150","Del Norte",5,8,12,7,434,217,2,0,0,376,411,784,684,485,303,226,414,90,197,193
"G0600170","1890","California","060","El Dorado","0170","El Dorado",183,132,132,518,1484,1560,2,5,22,136,193,6,2391,1674,1341,1154,1299,534,684,155
"G0600190","1890","California","060","Fresno","0190","Fresno",457,40,15,2736,753,427,12,0,0,347,794,2635,10806,8148,2378,1803,3845,1494,3100,452
"G0600230","1890","California","060","Humboldt","0230","Humboldt",48,23,0,19,241,39,1,0,0,1379,1935,76,5507,4436,2997,2729,4409,1944,705,742
"G0600270","1890","California","060","Inyo","0270","Inyo",12,4,8,89,90,29,0,0,0,850,637,311,759,481,386,286,518,163,504,447
"G0600290","1890","California","060","Kern","0290","Kern",130,4,4,1124,702,143,3,0,0,337,332,585,2738,1907,1023,784,1365,397,1343,251
"G0600315","1890","California","060","Klamath","0315","Klamath",0,0,2,0,0,542,0,0,0,0,0,61,,,,,,,,
"G0600330","1890","California","060","Lake","0330","Lake",41,14,2,210,469,119,0,0,0,556,774,23,2331,2178,516,464,525,280,505,302
"G0600350","1890","California","060","Lassen","0350","Lassen",6,2,0,41,50,17,0,0,0,335,330,1,1587,1131,383,301,342,113,226,156
"G0600370","1890","California","060","Los Angeles","0370","Los Angeles",1817,188,134,4424,1169,234,36,1,2,144,316,219,28001,26876,10179,10571,11314,8092,5408,1013
"G0600410","1890","California","060","Marin","0410","Marin",164,37,22,915,1327,361,24,7,0,31,162,126,2087,1145,2468,1709,3276,1253,1057,77
"G0600430","1890","California","060","Mariposa","0430","Mariposa",69,63,90,181,697,1084,0,0,0,152,184,34,936,661,547,459,556,226,268,134
"G0600450","1890","California","060","Mendocino","0450","Mendocino",35,4,9,359,346,129,1,0,0,581,1265,542,5525,4327,1620,1416,2882,866,687,289
